line_id,name,code,colour,operator,network,mode
Line:relation:7996352,Bus ClamiBus : Maison de Quartier André Charré ↔ Gare de Clamart,ClamiBus,,RATP,RATP,bus
Line:relation:7998698,Bus 68.13 : Dourdan ↔ Sermaise ou Villeconin,68.13,,Keolis Ormont,Ormont Transport,bus
Line:relation:7998730,Bus 95-32 : Lavoir ↔ Place Peyron,95-32,#FF3399,CeoBus,Busval d'Oise,bus
Line:relation:7999311,Bus 7A : Stade de la Faisanderie ↔ Gare Carnot,7A,red,Transdev Ile-de-France Nemours,STILL,bus
Line:relation:7999314,Bus 7B : Jacques Durand ↔ Cité Scolaire,7B,red,Transdev Ile-de-France Nemours,STILL,bus
Line:relation:7999343,Bus 7C : Gratereau ↔ Cité Scolaire,7C,red,Transdev Ile-de-France Nemours,STILL,bus
Line:relation:7999359,Bus 7D : Place Parodi ↔ Cité Scolaire,7D,red,Transdev Ile-de-France Nemours,STILL,bus
Line:relation:7999362,Bus 8A : Cité Scolaire ↔ Rue de la Source,8A,#58D3F7,Transdev Ile-de-France Nemours,STILL,bus
Line:relation:7999375,Bus 8B : Gare Nemours Parvis ↔ LEP Fontaineroux,8B,#58D3F7,Transdev Ile-de-France Nemours,Still,bus
Line:relation:7999440,Bus 9D : Mairie Diant ↔ Cité Scolaire,9D,brown,Transdev Ile-de-France Nemours,STILL,bus
Line:relation:7999538,Zi3 : Z.I. Roosevelt /Z.I. Vaulx-en-Velin Est ⇔ Vaulx-en-Velin La Soie,Zi3,,Keolis,TCL,bus
Line:relation:7999546,Bus 17B : Gare Souppes-sur-Loing ↔ LEP Fontaineroux,17B,green,Transdev Ile-de-France Nemours,STILL,bus
Line:relation:7999547,Bus 17A : Gare Carnot ↔ LEP Fontaineroux,17A,FFCC66,Transdev Ile-de-France Nemours,STILL,bus
Line:relation:7999696,Bus 18A : Puiselet ↔ Flora Tristan,18A,brown,Transdev Ile-de-France Nemours,STILL,bus
Line:relation:7999697,Bus 18B : Gare Foljuif ↔ André Malraux,18B,brown,Transdev Ile-de-France Nemours,STILL,bus
Line:relation:8002603,Zi4 : Vaulx-en-Velin - La Soie ⇔ Caluire Chemin Petit,Zi4,,SYTRAL,TCL,bus
Line:relation:8004097,Zi5 : Vaulx-en-Velin La Soie ⇔ Genas Rond-Point d’Ialie,Zi5,,Keolis,TCL,bus
Line:relation:8006880,BDO01 : Ornon-Bourg d'Oisans,BDO01,,,Transisère,bus
Line:relation:8007090,BDO02,BDO02,,,Transisère,bus
Line:relation:8008470,MON07 : TAD Château Bernard - Monestier-de-Clermont,MON07,#000000,,Transisère,bus
Line:relation:8010008,Ligne 20 : HAUTEVILLE ↔ Darcy,B20,blue,Divia,Divia,bus
Line:relation:8017591,AnjouBus 7: Angers – Cholet,AnjouBus 7,#00aaa8,,AnjouBus,bus
Line:relation:8024828,Bus 3803 : Ermont Gros Noyer Gare ↔ Saint-Prix Léon Cordier,3803,,Transdev Cars Rose,Valbus,bus
Line:relation:8031788,137: Esparron-de-Verdon -> Gréoux-les-Bains,137,yellowgreen,SUMIAN,Transagglo,bus
Line:relation:8032691,62 : Gare de Vénissieux ⇔ Mions Jules Vallès,62,,Keolis,TCL,bus
Line:relation:8036799,Bus 465 : Saint-Quentin-en-Yvelines Gare RER → Guyancourt Villaroy,465,#FF561C,SQYBUS,SQYBUS,bus
Line:relation:8045744,Ligne 7: Albertville <=> Grésy-sur-Isère,7,,Arlysère,Transports Région Arlysère,bus
Line:relation:8051204,Ligne 18 : LONGVIC Carmélites ↔ Darcy,B18,blue,Divia,Divia,bus
Line:relation:8051246,Bus L40: Luxembourg <=> Saarbrücken,L40,#CA2030,Voyages Emile Weber,CFL,bus
Line:relation:8054219,Ligne 17 : AHUY ↔ Collège Clos de Pouilly,B17,blue,Divia,Divia,bus
Line:relation:8056270,AnjouBus 8: Cholet – Ancenis,AnjouBus 8,#62134a,,AnjouBus,bus
Line:relation:8057577,Ligne 16 : QUETIGNY Allées Cavalières ↔ CRIMOLOIS,B16,,Divia,Divia,bus
Line:relation:8059539,K: Malaucène - Carpentras,K,#d8e037,,TransCoVe,bus
Line:relation:8062030,Bus 39,39,#3F46A3,Régie des Transports Métropolitains,RTM,bus
Line:relation:8063803,AnjouBus 8B: Saint-Florent-le-Vieil – Saint-Pierre-Montlimart,AnjouBus 8B,#62134a,,AnjouBus,bus
Line:relation:8076962,Bus 33 : Gare de Neuville Université ↔ Gare de Pontoise,33,#4FFFAA,STIVO,STIVO,bus
Line:relation:8081156,AnjouBus 9: Angers – Candé,AnjouBus 9,#fab39b,,AnjouBus,bus
Line:relation:8085534,AnjouBus 10: Angers – La Pommeraye,AnjouBus 10,#e9e616,,AnjouBus,bus
